filename,block_size,gld_efficiency,gst_efficiency
run_1024x1024_1024x1.nvprof.log,1024x1,100.00,12.50
run_1024x1024_128x8.nvprof.log,128x8,100.00,12.50
run_1024x1024_16x16.nvprof.log,16x16,100.00,12.50
run_1024x1024_256x4.nvprof.log,256x4,100.00,12.50
run_1024x1024_32x16.nvprof.log,32x16,100.00,12.50
run_1024x1024_32x32.nvprof.log,32x32,100.00,12.50
run_1024x1024_32x4.nvprof.log,32x4,100.00,12.50
run_1024x1024_32x8.nvprof.log,32x8,100.00,12.50
run_1024x1024_512x2.nvprof.log,512x2,100.00,12.50
run_1024x1024_64x16.nvprof.log,64x16,100.00,12.50
